aircraft,crew,length_ft,wingspan_ft,height_ft,wing_area_sqft,empty_weight_lb,gross_weight_lb,max_takeoff_weight_lb,engine_count,engine_thrust_lbf,engine_thrust_ab_lbf,max_speed_mach,max_speed_kts,cruise_speed_kts,combat_range_nmi,ferry_range_nmi,range_nmi,service_ceiling_ft
L3Harris OA-1K Skyraider II,,37.5,59.25,13.0,401.0,7836.0,16000.0,,1.0,,,,213.0,180.0,,,1303.0,
Fairchild Republic A-10 Thunderbolt II,1.0,53.0,57.0,14.0,506.0,24959.0,30384.0,46000.0,2.0,9065.0,,,381.0,300.0,,2240.0,,45000.0
Embraer EMB 314 Super Tucano,2.0,,,,,,,,1.0,,,,,,,,,
EA-37B Compass Call,,96.0,93.0,25.0,,48300.0,,98000.0,2.0,15385.0,,0.82,,,,,,45000.0
Rockwell B-1 Lancer,4.0,146.0,137.0,34.0,1950.0,192000.0,326000.0,477000.0,4.0,17390.0,30780.0,1.25,721.0,,2993.0,,5100.0,60000.0
Northrop Grumman B-2 Spirit,,69.0,172.0,17.0,5140.0,158000.0,336500.0,376000.0,4.0,17300.0,,,550.0,487.0,,,6000.0,50000.0
Northrop Grumman B-21 Raider,2.0,54.0,,,,70000.0,,180000.0,2.0,27000.0,,850.0,,,,,,50000.0
Boeing B-52 Stratofortress,5.0,159.0,185.0,40.0,4000.0,185000.0,265000.0,488000.0,8.0,17000.0,,,,442.0,,,,50000.0
Lockheed C-5 Galaxy,7.0,247.0,222.0,65.0,6200.0,380000.0,,840000.0,4.0,51000.0,,0.79,462.0,450.0,,7000.0,4800.0,41000.0
Beechcraft C-12 Huron,,43.0,54.0,15.0,303.0,7755.0,,12500.0,2.0,,,,289.0,,,1800.0,1450.0,35000.0
Boeing C-17 Globemaster III,3.0,174.0,169.0,55.0,3800.0,282500.0,,585000.0,4.0,40440.0,,,,450.0,,6230.0,2420.0,45000.0
Learjet 35,,48.0,39.0,12.0,253.3,9154.0,,18000.0,2.0,3500.0,,,471.0,418.0,,,2857.0,45000.0
Boeing VC-25,,231.0,196.0,63.0,,,,833000.0,4.0,56700.0,,0.92,547.5,500.0,,,6800.0,45100.0
Boeing C-32,2.0,155.0,124.0,44.0,185.25,128730.0,,256000.0,2.0,40100.0,,0.86,526.0,,,,5650.0,42000.0
Gulfstream V,2.0,96.4,93.45,26.85,1137.0,,,90500.0,2.0,14750.0,,0.88,,,,,6500.0,51000.0
Boeing C-40 Clipper,100.0,110.0,112.0,41.0,,126000.0,,171000.0,2.0,27300.0,,,534.0,,,,3200.0,41000.0
